item_id,display_name,slot_id,resource_path,run_investment_price,default_owned,required_unlock_id,source_status
blink,점멸,skill_0,res://game/features/combat_skills/definitions/blink.tres,0,TRUE,,temporary
magnetic_field,원형 자기장,skill_1,res://game/features/combat_skills/definitions/magnetic_field.tres,0,TRUE,,temporary
speed_boost,기동 가속,skill_2,res://game/features/combat_skills/definitions/speed_boost.tres,0,TRUE,,temporary
arc_dash,아크 질주,skill_2,res://game/features/combat_skills/definitions/arc_dash.tres,60,FALSE,region_research_complex,temporary
arc_link,연쇄 전격,skill_0,res://game/features/combat_skills/definitions/arc_link.tres,0,TRUE,,temporary
relay_stun,정지 릴레이,skill_1,res://game/features/combat_skills/definitions/relay_stun.tres,0,TRUE,,temporary
overload_link,과부하 연결,skill_0,res://game/features/combat_skills/definitions/overload_link.tres,0,TRUE,,temporary
relay_barrage,반복 릴레이,skill_2,res://game/features/combat_skills/definitions/relay_barrage.tres,0,TRUE,,temporary
plasma_lance,플라스마 창,skill_0,res://game/features/combat_skills/definitions/plasma_lance.tres,0,TRUE,,temporary
cryo_ray,냉각 광선,skill_1,res://game/features/combat_skills/definitions/cryo_ray.tres,0,TRUE,,temporary
breach_ray,균열 광선,skill_0,res://game/features/combat_skills/definitions/breach_ray.tres,0,TRUE,,temporary
rotating_ray,회전 절단광,skill_2,res://game/features/combat_skills/definitions/rotating_ray.tres,0,TRUE,,temporary
crossfire,십자 섬광,skill_0,res://game/features/combat_skills/definitions/crossfire.tres,0,TRUE,,temporary
charged_rail,축전 레일,skill_0,res://game/features/combat_skills/definitions/charged_rail.tres,0,TRUE,,temporary
fan_cut,부채꼴 참격,skill_0,res://game/features/combat_skills/definitions/fan_cut.tres,0,TRUE,,temporary
suppression_fan,제압 부채,skill_1,res://game/features/combat_skills/definitions/suppression_fan.tres,0,TRUE,,temporary
frost_fan,서리 분사,skill_1,res://game/features/combat_skills/definitions/frost_fan.tres,0,TRUE,,temporary
execution_fan,처형 절단,skill_0,res://game/features/combat_skills/definitions/execution_fan.tres,0,TRUE,,temporary
spiral_cut,나선 검무,skill_2,res://game/features/combat_skills/definitions/spiral_cut.tres,0,TRUE,,temporary
seismic_pulse,지진 파동,skill_1,res://game/features/combat_skills/definitions/seismic_pulse.tres,0,TRUE,,temporary
thermal_bloom,열화 개화,skill_0,res://game/features/combat_skills/definitions/thermal_bloom.tres,0,TRUE,,temporary
static_trap,정전 덫,skill_1,res://game/features/combat_skills/definitions/static_trap.tres,0,TRUE,,temporary
frost_zone,동결 구역,skill_1,res://game/features/combat_skills/definitions/frost_zone.tres,0,TRUE,,temporary
corrosion_zone,부식 구역,skill_1,res://game/features/combat_skills/definitions/corrosion_zone.tres,0,TRUE,,temporary
storm_mantle,폭풍 외투,skill_2,res://game/features/combat_skills/definitions/storm_mantle.tres,0,TRUE,,temporary
orbit_guard,궤도 방호,skill_2,res://game/features/combat_skills/definitions/orbit_guard.tres,0,TRUE,,temporary
perimeter_mine,외곽 지뢰,skill_1,res://game/features/combat_skills/definitions/perimeter_mine.tres,0,TRUE,,temporary
containment_ring,격리 고리,skill_1,res://game/features/combat_skills/definitions/containment_ring.tres,0,TRUE,,temporary
resonance_ring,공명 고리,skill_0,res://game/features/combat_skills/definitions/resonance_ring.tres,0,TRUE,,temporary
mark_target,집중 표식,skill_1,res://game/features/combat_skills/definitions/mark_target.tres,0,TRUE,,temporary
ion_strike,이온 저격,skill_0,res://game/features/combat_skills/definitions/ion_strike.tres,0,TRUE,,temporary
stasis_lock,정지 구속,skill_1,res://game/features/combat_skills/definitions/stasis_lock.tres,0,TRUE,,temporary
focused_barrage,집중 포격,skill_0,res://game/features/combat_skills/definitions/focused_barrage.tres,0,TRUE,,temporary
shatter,빙결 분쇄,skill_0,res://game/features/combat_skills/definitions/shatter.tres,0,TRUE,,temporary
reactive_shell,반응 장갑,skill_2,res://game/features/combat_skills/definitions/reactive_shell.tres,0,TRUE,,temporary
evasive_drive,회피 구동,skill_2,res://game/features/combat_skills/definitions/evasive_drive.tres,0,TRUE,,temporary
fortress_pulse,요새 진동,skill_2,res://game/features/combat_skills/definitions/fortress_pulse.tres,0,TRUE,,temporary
assault_drive,돌격 구동,skill_2,res://game/features/combat_skills/definitions/assault_drive.tres,0,TRUE,,temporary
null_wave,무력화 파동,skill_1,res://game/features/combat_skills/definitions/null_wave.tres,0,TRUE,,temporary
thunder_finale,뇌전 종막,skill_0,res://game/features/combat_skills/definitions/thunder_finale.tres,0,TRUE,,temporary
